segment_id,street,direction,length,observed_speed,predicted_speed,travel_time_minutes,estimated_co2,distance_score,time_score,emission_score,distance_focused_score,balanced_score,sustainability_focused_score
85,Pulaski,SB,0.5,25.0,26.5,1.13,104.6,0.3506,0.0872,0.3177,0.2683,0.2502,0.2518
86,Pulaski,SB,0.24,20.0,21.2,0.68,50.2,0.013,0.0148,0.0118,0.0134,0.0132,0.0128
87,Pulaski,SB,0.5,25.0,26.8,1.12,104.6,0.3506,0.0848,0.3177,0.2676,0.2494,0.2511
91,Pulaski,SB,0.65,25.0,23.5,1.66,136.0,0.5455,0.1715,0.4941,0.4281,0.4014,0.4025
92,Pulaski,SB,0.85,29.0,27.8,1.83,177.8,0.8052,0.1988,0.7294,0.6157,0.574,0.5778
93,Pulaski,SB,0.4,23.0,25.6,0.94,83.7,0.2208,0.0561,0.2,0.1693,0.1579,0.1589
97,Pulaski,SB,0.5,17.0,24.4,1.23,104.6,0.3506,0.1023,0.3177,0.2729,0.2553,0.2564
102,Ashland,NB,1.0,28.0,27.2,2.2,209.2,1.0,0.2578,0.9059,0.7679,0.7166,0.7209
103,Ashland,NB,0.5,25.0,26.8,1.12,104.6,0.3506,0.0853,0.3177,0.2677,0.2495,0.2512
104,Ashland,NB,0.5,25.0,26.9,1.12,104.6,0.3506,0.0847,0.3177,0.2676,0.2493,0.2511
105,Ashland,NB,0.5,29.0,25.5,1.18,104.6,0.3506,0.0943,0.3177,0.2704,0.2526,0.2539
106,Ashland,NB,0.5,28.0,26.8,1.12,104.6,0.3506,0.0853,0.3177,0.2677,0.2495,0.2512
110,Ashland,NB,0.5,30.0,27.6,1.09,104.6,0.3506,0.0799,0.3177,0.2661,0.2477,0.2496
111,Ashland,NB,0.5,32.0,26.5,1.13,104.6,0.3506,0.087,0.3177,0.2683,0.2501,0.2518
112,Ashland,NB,0.5,26.0,26.7,1.12,104.6,0.3506,0.0858,0.3177,0.2679,0.2497,0.2514
122,Ashland,NB,0.55,27.0,25.1,1.32,115.1,0.4156,0.1164,0.3765,0.3219,0.301,0.3024
123,Ashland,NB,0.45,20.0,23.2,1.16,94.2,0.2857,0.0919,0.2588,0.2249,0.211,0.2115
124,Ashland,NB,0.5,18.0,25.3,1.19,104.6,0.3506,0.0956,0.3177,0.2708,0.253,0.2543
125,Ashland,NB,0.5,24.0,26.6,1.13,104.6,0.3506,0.0862,0.3177,0.268,0.2498,0.2515
126,Ashland,NB,0.5,33.0,24.8,1.21,104.6,0.3506,0.0997,0.3177,0.2721,0.2545,0.2556
127,Ashland,NB,0.5,20.0,24.0,1.25,104.6,0.3506,0.1061,0.3177,0.274,0.2566,0.2575
129,Ashland,NB,0.5,26.0,26.0,1.15,104.6,0.3506,0.0907,0.3177,0.2694,0.2514,0.2529
131,Ashland,NB,0.5,24.0,25.2,1.19,104.6,0.3506,0.0967,0.3177,0.2712,0.2534,0.2547
133,Ashland,SB,0.5,37.0,23.7,1.27,104.6,0.3506,0.1085,0.3177,0.2747,0.2574,0.2582
